Descriptor,Decoy (Mean±SD),Inhibitor (Mean±SD),p-value
minsCH3,1.68 ± 0.52,1.01 ± 0.90,4.32e-36
MDEN-12,0.00 ± 0.01,0.31 ± 0.42,1.05e-64
minHCsats,0.32 ± 0.18,0.28 ± 0.24,3.23e-03
maxHCsats,0.56 ± 0.23,0.48 ± 0.40,6.47e-05
maxHBint7,0.49 ± 0.82,1.71 ± 2.50,1.65e-11
minHBint8,0.06 ± 0.12,0.24 ± 0.39,9.28e-11
SaaaC,0.00 ± 0.02,0.50 ± 0.84,5.19e-42
minHBint7,0.20 ± 0.41,0.88 ± 1.29,1.25e-14
SpMax1_Bhm,4.12 ± 0.27,4.19 ± 0.34,8.99e-05
maxdssC,0.08 ± 0.13,0.31 ± 0.45,1.35e-09
SHBint7,0.48 ± 0.87,2.02 ± 3.01,1.30e-12
ndsN,0.00 ± 0.02,0.49 ± 0.73,5.05e-55
maxsssCH,0.26 ± 0.34,0.03 ± 0.05,1.25e-26
BCUTw-1l,11.96 ± 0.06,11.92 ± 0.07,6.63e-29
mindsN,0.00 ± 0.06,1.43 ± 2.00,3.64e-54
SdssC,-0.10 ± 0.36,-0.04 ± 1.15,1.31e-01
minHdsCH,0.00 ± 0.01,0.16 ± 0.26,7.78e-42
nsssN,0.47 ± 0.64,0.00 ± 0.00,1.23e-56
minaaaC,0.00 ± 0.01,0.23 ± 0.40,5.23e-42
SHBint3,0.84 ± 1.69,2.25 ± 3.28,2.63e-07
nHBint9,0.00 ± 0.02,0.43 ± 0.77,7.09e-42
minssNH,1.76 ± 1.54,2.47 ± 0.86,7.51e-10
minsssN,0.74 ± 0.97,0.00 ± 0.00,4.57e-56
mindsCH,0.00 ± 0.02,0.39 ± 0.66,7.78e-42
naaaC,0.00 ± 0.03,0.62 ± 1.05,5.18e-44
SHBint8,0.19 ± 0.35,0.77 ± 1.22,1.24e-08
