Feature,H-stat,p-value,Significativo
SsssCH,75.562,3.91e-17,Sim
ATS0s,51.918,5.32e-12,Sim
ATSC0i,68.564,1.29e-15,Sim
SpMin4_Bhs,39.757,2.33e-09,Sim
minsssCH,65.878,4.95e-15,Sim
SpMax7_Bhm,48.142,3.52e-11,Sim
LipoaffinityIndex,64.477,9.98e-15,Sim
MDEN-12,25.687,2.64e-06,Sim
VR1_Dzs,69.216,9.33e-16,Sim
SpMax6_Bhs,47.889,3.99e-11,Sim
gmax,56.928,4.35e-13,Sim
SPC-4,42.432,6.11e-10,Sim
nAtomLC,74.595,6.34e-17,Sim
EE_D,38.978,3.44e-09,Sim
GATS4p,39.675,2.42e-09,Sim
SpMin2_Bhm,22.907,1.06e-05,Sim
GATS3i,36.58,1.14e-08,Sim
SpMax3_Bhs,50.75,9.55e-12,Sim
SpMax6_Bhm,56.91,4.39e-13,Sim
SpMax4_Bhs,51.358,7.04e-12,Sim
ZMIC2,58.296,2.19e-13,Sim
