"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL541696";"";"None";"340.17";"0";"2.77";"1";"Nc1ncccc1C(=O)OCC(=O)Nc1cc(Cl)ccc1Cl";"IC50";"'='";"116000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1062132";"Inhibition of Trypanosoma cruzi cruzain preincubated for 5 mins before substrate addition in presence of 0.001% bovine serum albumin";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1151964";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"116.0"
"CHEMBL550751";"";"None";"346.35";"0";"2.96";"22, SMDC-281566";"Nc1ccccc1-c1nnc(C(=O)Nc2cc(-c3ccccc3)[nH]n2)o1";"IC50";"'='";"800.0";"nM";"6.10";"";"";"UO_0000065";"17.60";"0.32";"3.14";"4.97";"0";"CHEMBL1062131";"Inhibition of Trypanosoma cruzi cruzain preincubated for 5 mins before substrate addition in presence of 0.001% Triton X-100";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1151964";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"0.8"
"CHEMBL549616";"";"None";"383.46";"0";"3.43";"SMDC-256202";"Nc1ccccc1-c1nnc(C(=O)NCc2csc(-c3cccs3)n2)o1";"IC50";"'='";"2000.0";"nM";"5.70";"";"";"UO_0000065";"14.86";"0.30";"2.27";"5.33";"0";"CHEMBL1061354";"Inhibition of Trypanosoma cruzi cruzain preincubated for 5 mins before substrate addition";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1151964";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"2.0"
"CHEMBL550633";"";"None";"336.35";"0";"1.71";"SMDC-256119";"Nc1ccccc1-c1nnc(C(=O)N[C@@H]2c3ccccc3C[C@@H]2O)o1";"IC50";"'='";"32000.0";"nM";"4.50";"";"";"UO_0000065";"13.36";"0.25";"2.78";"3.93";"0";"CHEMBL1061354";"Inhibition of Trypanosoma cruzi cruzain preincubated for 5 mins before substrate addition";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1151964";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"32.0"
"CHEMBL4447348";"";"None";"696.93";"1";"4.66";"11";"COC1=CC(=O)N(C(=O)/C=C/[C@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)OC(=O)[C@H](C(C)C)N(C)C)[C@H]1CC(C)C";"IC50";"'='";"0.25";"nM";"9.60";"";"";"UO_0000065";"13.78";"0.26";"4.94";"7.15";"0";"CHEMBL4322971";"Inhibition of recombinant Trypanosoma cruzi Cruzain expressed in Pichia pastoris using Z-Phe-Arg-AMC substrate incubated for 30 mins by fluorescence based assay";"B";"BAO_0000019";"assay format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL4321814";"1";"Scientific Literature";"J Med Chem";"2019";"None";"";"";"";"0.25"
"CHEMBL183767";"";"None";"338.26";"0";"4.18";"1f";"N/C(S)=N/N=C(\Cc1ccccc1)c1ccc(Cl)c(Cl)c1";"IC50";"'='";"80.0";"nM";"7.10";"";"";"UO_0000065";"20.98";"0.46";"2.92";"13.99";"0";"CHEMBL830275";"Inhibitory concentration against cruzain of Trypanosoma cruzi";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1144459";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"80.0"
"CHEMBL81";"RALOXIFENE";"4.0";"473.59";"1";"6.08";"raloxifene";"O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12";"IC50";"'='";"128000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1119972";"Inhibition of Trypanosoma cruzi cruzaine preincubated for 5 mins before substrate addition by fluorescence assay in presence of 0.01% Triton X-100";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1155470";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";"";"128.0"
"CHEMBL1083993";"AMIODARONE HYDROCHLORIDE";"4.0";"681.78";"2";"6.94";"amiodarone HCl";"CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1.Cl";"IC50";"'='";"4000.0";"nM";"5.40";"";"";"UO_0000065";"8.36";"0.24";"-1.54";"12.65";"0";"CHEMBL1119971";"Inhibition of Trypanosoma cruzi cruzaine preincubated for 5 mins before substrate addition by fluorescence assay in absence of Triton X-100";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1155470";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";"";"4.0"
"CHEMBL577752";"";"None";"375.25";"1";"5.18";"2";"O=C(Nc1nc(-c2cccc(Br)c2)cs1)Oc1ccccc1";"IC50";"'='";"30000.0";"nM";"4.52";"";"";"UO_0000065";"12.05";"0.28";"-0.66";"8.83";"0";"CHEMBL1048800";"Inhibition of Trypanosoma cruzi cruzain by Flexstation microplate spectrofluorimetry";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1156758";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";"";"30.0"
"CHEMBL566924";"";"None";"359.23";"0";"3.60";"23";"N#Cc1nc(Nc2cccc(Br)c2)nc(NC2CCCC2)n1";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"19.49";"0.43";"3.40";"8.09";"0";"CHEMBL1048801";"Inhibition of Trypanosoma cruzi cruzain after 15 mins";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1156759";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";"";"0.1"
"CHEMBL566273";"";"None";"356.43";"0";"4.51";"27";"N#Cc1nc(Nc2cccc(-c3ccccc3)c2)nc(NC2CCCC2)n1";"IC50";"'='";"2239.0";"nM";"5.65";"";"";"UO_0000065";"15.85";"0.29";"1.14";"6.53";"0";"CHEMBL1048801";"Inhibition of Trypanosoma cruzi cruzain after 15 mins";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1156759";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";"";"2.239"
"CHEMBL568172";"";"None";"349.23";"0";"4.15";"30";"N#Cc1nc(Nc2cc(Cl)cc(Cl)c2)nc(NC2CCCC2)n1";"IC50";"'='";"398.0";"nM";"6.40";"";"";"UO_0000065";"18.33";"0.38";"2.25";"7.40";"0";"CHEMBL1048801";"Inhibition of Trypanosoma cruzi cruzain after 15 mins";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL3563";"Cruzipain";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1156759";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";"";"0.398"
