molecule_chembl_id,smiles,IC50_nM,pchembl_value,doc_year,alogp,mol_weight,potency_class
CHEMBL1014,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,42000.0,4.38,2010,6.32,610.67,2
CHEMBL1078675,Cc1nc(-c2ccccc2)sc1C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,10000.0,5.0,2009,5.84,502.66,2
CHEMBL1078778,Cc1nc(-c2cccnc2)sc1C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,2000.0,5.7,2009,5.23,503.65,1
CHEMBL1078779,Cc1nc(-c2cnccn2)sc1C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,1000.0,6.0,2009,4.63,504.64,1
CHEMBL1078855,O=C(N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)c1cc(-c2ccccc2)no1,2000.0,5.7,2009,5.06,472.57,1
CHEMBL1078981,O=C(N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)c1cc(-c2ccncc2)no1,5000.0,5.3,2009,4.46,473.55,2
CHEMBL1079067,O=C(N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)c1cc(-c2cccnc2)no1,1000.0,6.0,2009,4.46,473.55,1
CHEMBL1079068,O=C(N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)c1cc(-c2ccccn2)no1,6000.0,5.22,2009,4.46,473.55,2
CHEMBL1079162,O=C(N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)[C@@H]1CCCC[C@H]1C(=O)c1ccc(Cl)cc1,50.0,7.3,2009,6.43,550.12,0
CHEMBL108035,C/C(=N\N=C(\N)S)c1cccc(-c2ccccc2)c1,7999.17,5.1,2004,3.32,269.37,2
CHEMBL108101,C/C(=N/N=C(/N)S)c1cccc(/C(C)=N/N=C(/N)S)c1,5000.0,5.3,2004,1.62,308.44,2
